scenario_id,language,num_servers,num_clients,messages_per_client,run_number,success,duration,latency_avg,latency_min,latency_max,latency_median,latency_stddev,throughput,messages_sent,messages_received,server_ports,container_ids,error_message
c_2s_10c_1m_r1,c,2,10,1,1,True,9.047286987304688,0.050641340060002794,0.017709803739374586,0.07828662247550432,0.050399012256777564,0.011853348647448374,1000,100,98,8000|8001,container_c_0,
c_2s_10c_1m_r2,c,2,10,1,2,True,9.648964166641235,0.048901229376143884,0.027824839157431572,0.07423549722270115,0.04797378990497442,0.009970662079326842,1000,100,98,8000|8001,container_c_0,
c_2s_10c_1m_r3,c,2,10,1,3,True,8.783305883407593,0.051409298080499745,0.026011117785342697,0.0776926725562298,0.05230443417380051,0.011348489992662043,1000,100,98,8000|8001,container_c_0,
c_2s_10c_1m_r4,c,2,10,1,4,True,9.676162004470825,0.05022216652042326,0.016346560049236437,0.07692074209826683,0.051163581935071645,0.01062174226127592,1000,100,98,8000|8001,container_c_0,
c_2s_10c_1m_r5,c,2,10,1,5,True,8.800791263580322,0.050362846375549095,0.027731730965897015,0.07556841806033707,0.04951256385987822,0.00955001867859647,1000,100,98,8000|8001,container_c_0,
c_2s_10c_1m_r6,c,2,10,1,6,True,9.639501571655273,0.051924268516814275,0.027543265406274792,0.07487112196874568,0.05227431327288373,0.009904067819852879,1000,100,98,8000|8001,container_c_0,
c_2s_10c_1m_r7,c,2,10,1,7,True,9.738228797912598,0.0520855795363768,0.02938378697699234,0.07542117289836014,0.0529330089319672,0.009827370161911236,1000,100,98,8000|8001,container_c_0,
c_2s_10c_1m_r8,c,2,10,1,8,True,8.768245697021484,0.05013798768526449,0.025248568906445706,0.08392542000077706,0.04987110906347826,0.00864967860559597,1000,100,98,8000|8001,container_c_0,
c_2s_10c_1m_r9,c,2,10,1,9,True,10.740965366363525,0.048592422396808645,0.02234830341938472,0.07077287533846284,0.04812050586817542,0.010545505858282848,1000,100,98,8000|8001,container_c_0,
c_2s_10c_1m_r10,c,2,10,1,10,True,8.710982084274292,0.048775696464338256,0.02057458281061454,0.06796289792832841,0.04914472592387591,0.00983064795090642,1000,100,98,8000|8001,container_c_0,
c_2s_10c_10m_r1,c,2,10,10,1,True,9.691137552261353,0.050067295341442136,0.02355336363349765,0.07203107118432718,0.05068722285367659,0.010239293881751174,1000,100,98,8000|8001,container_c_0,
c_2s_10c_10m_r2,c,2,10,10,2,True,9.6957426071167,0.050741077434175275,0.01695006330044447,0.07240246165232539,0.051020569629911944,0.009860742238301289,1000,100,98,8000|8001,container_c_0,
c_2s_10c_10m_r3,c,2,10,10,3,True,8.797842025756836,0.049376667586444094,0.01869952372583717,0.07527283632077882,0.04971236180968248,0.009647384368677462,1000,100,98,8000|8001,container_c_0,
c_2s_10c_10m_r4,c,2,10,10,4,True,9.652318239212036,0.051076103379425565,0.02642861139320279,0.07731007945748128,0.0500771526735454,0.009359151712637076,1000,100,98,8000|8001,container_c_0,
c_2s_10c_10m_r5,c,2,10,10,5,True,9.710771322250366,0.050424238105064335,0.026115487489040606,0.07720188051539231,0.050476317482428895,0.009787927231757048,1000,100,98,8000|8001,container_c_0,
c_2s_10c_10m_r6,c,2,10,10,6,True,9.724452257156372,0.04951561643001773,0.02348990261868684,0.07209671090147597,0.04996507005124001,0.00919520841471872,1000,100,98,8000|8001,container_c_0,
c_2s_10c_10m_r7,c,2,10,10,7,True,9.686591386795044,0.04981623913183594,0.02852503958195962,0.0739301626256764,0.049986296528740766,0.010632938187354462,1000,100,98,8000|8001,container_c_0,
